description,enrolmentkey,groupname
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,5suh3a,&#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,zhkz6x,&#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;&#1086;&#1093;&#1088;&#1072;&#1085;&#1080;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,q3nne5,&#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;&#1086;&#1093;&#1088;. &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,20c7tn,&#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1095;&#1077;&#1089;. &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;,6ubehu,&#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;&#1072;&#1083;&#1080;&#1089;&#1090;&#1080;&#1082;&#1072;,9zdzgu,&#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;&#1072;&#1083;&#1080;. &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1074;&#1083;&#1072;&#1089;&#1090;&#1080;,0dhzdi,&#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; &#1089;&#1091;&#1076;. &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;&#1075;&#1086; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1103;,rlytwc,&#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;. &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,5l8swo,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,8j39dr,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;&#1090;&#1072;&#1088;&#1085;&#1099;&#1077; &#1076;&#1080;&#1089;&#1094;&#1080;&#1087;&#1083;&#1080;&#1085;&#1099;,td8119,&#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;&#1090;&#1072;&#1088;. &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,ye2ncy,&#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;&#1078;&#1080;&#1084;&#1086;&#1089;&#1090;&#1100;&#1102;,uk0xm1,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;&#1078;&#1080;&#1084;. &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072;,3mpnnq,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,tuf6or,&#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;. &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,7tzz4h,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1089;&#1091;&#1076;&#1086;&#1087;&#1088;&#1086;&#1080;&#1079;&#1074;&#1086;&#1076;&#1089;&#1090;&#1074;&#1086;,y8vku0,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;. &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,tnrjzg,&#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;. &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,cawagq,&#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072;,xmdj3p,&#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;. &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,ow3tun,&#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,ux96my,&#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;&#1086;&#1093;&#1088;&#1072;&#1085;&#1080;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,xdqkps,&#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080;. &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,046lex,&#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;. &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;,j0eao3,&#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;&#1072;&#1083;&#1080;&#1089;&#1090;&#1080;&#1082;&#1072;,chfyrf,&#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; . &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1074;&#1083;&#1072;&#1089;&#1090;&#1080;,5j5zea,&#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;. &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;&#1075;&#1086; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1103;,y7kk06,&#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;. &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,vhok8h,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,qp270y,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;. &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;&#1090;&#1072;&#1088;&#1085;&#1099;&#1077; &#1076;&#1080;&#1089;&#1094;&#1080;&#1087;&#1083;&#1080;&#1085;&#1099;,3hk59d,&#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-. &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,m9vt6o,&#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;&#1078;&#1080;&#1084;&#1086;&#1089;&#1090;&#1100;&#1102;,11pcis,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077;. &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072;,hz9rlq,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1053;&#1080;&#1078;&#1085;&#1080;&#1081; &#1053;&#1086;&#1074;&#1075;&#1086;&#1088;&#1086;&#1076;
&#1056;&#1086;&#1089;&#1090;&#1086;&#1074;-&#1085;&#1072;-&#1044;&#1086;&#1085;&#1091; &#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,qdj3il,&#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1056;&#1086;&#1089;&#1090;&#1086;&#1074;-&#1085;&#1072;-&#1044;&#1086;&#1085;&#1091;
&#1056;&#1086;&#1089;&#1090;&#1086;&#1074;-&#1085;&#1072;-&#1044;&#1086;&#1085;&#1091; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,7ih1du,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1056;&#1086;&#1089;&#1090;&#1086;&#1074;-&#1085;&#1072;-&#1044;&#1086;&#1085;&#1091;
&#1056;&#1086;&#1089;&#1090;&#1086;&#1074;-&#1085;&#1072;-&#1044;&#1086;&#1085;&#1091; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1089;&#1091;&#1076;&#1086;&#1087;&#1088;&#1086;&#1080;&#1079;&#1074;&#1086;&#1076;&#1089;&#1090;&#1074;&#1086;,0aevbm,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;. &#1056;&#1086;&#1089;&#1090;&#1086;&#1074;-&#1085;&#1072;-&#1044;&#1086;&#1085;&#1091;
&#1056;&#1086;&#1089;&#1090;&#1086;&#1074;-&#1085;&#1072;-&#1044;&#1086;&#1085;&#1091; &#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,ybdgvv,&#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;. &#1056;&#1086;&#1089;&#1090;&#1086;&#1074;-&#1085;&#1072;-&#1044;&#1086;&#1085;&#1091;
&#1056;&#1086;&#1089;&#1090;&#1086;&#1074;-&#1085;&#1072;-&#1044;&#1086;&#1085;&#1091; &#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,rhuxcd,&#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1056;&#1086;&#1089;&#1090;&#1086;&#1074;-&#1085;&#1072;-&#1044;&#1086;&#1085;&#1091;
